movie_name,released_Year,runtime,Certificate,rating,vote_count,meta_score,director
Vagabond,1985,1h 45m,Not Rated,7.6,14K,,Agnès Varda
The Lady Eve,1941,1h 34m,Approved,7.7,24K,96,Preston Sturges
Nights of Cabiria,1957,1h 50m,Not Rated,8.1,54K,,Federico Fellini
"Paris, Texas",1984,2h 25m,R,8.1,128K,81,Wim Wenders
King Kong,1933,1h 40m,Approved,7.9,93K,92,Merian C. Cooper
On the Waterfront,1954,1h 48m,Approved,8.1,170K,91,Elia Kazan
The Last Laugh,1924,1h 30m,Not Rated,8.0,16K,,F.W. Murnau
News from Home,1976,1h 29m,,7.3,3.1K,,Chantal Akerman
Close Encounters of the Third Kind,1977,2h 18m,PG,7.6,223K,90,Steven Spielberg
Raiders of the Lost Ark,1981,1h 55m,PG,8.4,1.1M,86,Steven Spielberg
The Gleaners & I,2000,1h 22m,Not Rated,7.7,9.2K,86,Agnès Varda
The Life and Death of Colonel Blimp,1943,2h 43m,Approved,8.0,17K,93,Michael Powell
Death in Venice,1971,2h 10m,GP,7.3,24K,,Luchino Visconti
The Thing,1982,1h 49m,R,8.2,488K,57,John Carpenter
Wavelength,1967,45m,Not Rated,5.4,3.2K,,Michael Snow
Wings of Desire,1987,2h 8m,PG-13,7.9,80K,79,Wim Wenders
The Great Dictator,1940,2h 5m,G,8.4,246K,,Charles Chaplin
Solaris,1972,2h 47m,PG,7.9,101K,93,Andrei Tarkovsky
Moonlight,2016,1h 51m,R,7.4,339K,99,Barry Jenkins
Zero for Conduct,1933,47m,Not Rated,7.2,9.6K,,Jean Vigo
Kes,1969,1h 51m,PG-13,7.9,24K,,Ken Loach
Breaking the Waves,1996,2h 33m,R,7.8,73K,82,Lars von Trier
Le Samouraï,1967,1h 41m,GP,8.0,61K,90,Jean-Pierre Melville
The Grapes of Wrath,1940,2h 9m,Approved,8.1,103K,96,John Ford
Umberto D.,1952,1h 29m,Not Rated,8.2,29K,92,Vittorio De Sica
Magnolia,1999,3h 8m,R,8.0,335K,78,Paul Thomas Anderson
The Life of Oharu,1952,2h 13m,Not Rated,8.1,7.9K,,Kenji Mizoguchi
Brazil,1985,2h 12m,R,7.8,215K,84,Terry Gilliam
Where Is the Friend's House?,1987,1h 23m,Not Rated,8.1,20K,,Abbas Kiarostami
The Quiet Man,1952,2h 9m,Approved,7.7,44K,85,John Ford
Sullivan's Travels,1941,1h 30m,Approved,7.9,29K,89,Preston Sturges
Love Streams,1984,2h 21m,PG-13,7.6,7K,,John Cassavetes
"Black God, White Devil",1964,2h,,7.2,5.7K,74,Glauber Rocha
The Travelling Players,1975,3h 50m,,7.8,4.5K,,Theodoros Angelopoulos
The House Is Black,1963,20m,,7.8,5.8K,,Forugh Farrokhzad
Germany Year Zero,1948,1h 18m,Not Rated,7.8,14K,,Roberto Rossellini
Red Desert,1964,1h 57m,Not Rated,7.4,18K,,Michelangelo Antonioni
McCabe & Mrs. Miller,1971,2h,,7.6,29K,93,Robert Altman
The Crowd,1928,1h 38m,Not Rated,8.1,9.5K,,King Vidor
The Matrix,1999,2h 16m,R,8.7,2.1M,73,Lana Wachowski
Ashes and Diamonds,1958,1h 43m,Not Rated,7.7,14K,,Andrzej Wajda
An Autumn Afternoon,1962,1h 53m,Not Rated,8.0,11K,91,Yasujirô Ozu
